url_openalex	primary_location_id	primary_location_display_name	primary_location_issn_l	primary_location_is_oa	primary_location_version	primary_location_license	is_oa	oa_status	oa_url	doi_openalex	pmid_openalex	date_openalex	type	is_retracted	biblio_issue	biblio_first_page	biblio_volume	biblio_last_page	PMID	DOI	ID_OPENALEX	OPENALEX
https://openalex.org/W1993454294	https://openalex.org/S174893293	Journal of pharmaceutical and biomedical analysis	0731-7085	False			False	closed		https://doi.org/10.1016/j.jpba.2014.08.035	https://pubmed.ncbi.nlm.nih.gov/25459925	2015	article	False		33	102	44	25459925	10.1016/J.JPBA.2014.08.035	W1993454294	1
https://openalex.org/W4252726418	https://openalex.org/S174893293	Journal of pharmaceutical and biomedical analysis	0731-7085	False			False	closed		https://doi.org/10.1016/j.jpba.2014.09.032	https://pubmed.ncbi.nlm.nih.gov/25459925	2015	article	False		282	102	289	25459925	10.1016/J.JPBA.2014.09.032	W4252726418	1
https://openalex.org/W2076014591	https://openalex.org/S198804558	Intensive care medicine	0342-4642	False			False	closed		https://doi.org/10.1007/s00134-015-3735-z	https://pubmed.ncbi.nlm.nih.gov/25904180	2015	article	False	5	856	41	864	25904180	10.1007/S00134-015-3735-Z	W2076014591	1
https://openalex.org/W4254559537	https://openalex.org/S198804558	Intensive care medicine	0342-4642	True	publishedVersion		True	bronze	https://link.springer.com/content/pdf/10.1007/s00134-015-3782-5.pdf	https://doi.org/10.1007/s00134-015-3782-5	https://pubmed.ncbi.nlm.nih.gov/25904180	2015	erratum	False	6	1177	41	1177	25904180	10.1007/S00134-015-3782-5	W4254559537	1
https://openalex.org/W2163089896	https://openalex.org/S4210230012	Attention, perception & psychophysics	1943-3921	True	publishedVersion		True	bronze	https://link.springer.com/content/pdf/10.3758/s13414-015-0988-0.pdf	https://doi.org/10.3758/s13414-015-0988-0	https://pubmed.ncbi.nlm.nih.gov/26530189	2015	article	False	1	218	78	241	26530189	10.3758/S13414-015-0988-0	W2163089896	1
https://openalex.org/W3190168402	https://openalex.org/S4210230012	Attention, perception & psychophysics	1943-3921	True	publishedVersion		True	bronze	https://link.springer.com/content/pdf/10.3758/s13414-015-1014-2.pdf	https://doi.org/10.3758/s13414-015-1014-2	https://pubmed.ncbi.nlm.nih.gov/26530189	2015	erratum	False	8	2826	77	2826	26530189	10.3758/S13414-015-1014-2	W3190168402	1
https://openalex.org/W574667306	https://openalex.org/S175814247	Journal of neurology	0340-5354	False			True	green	https://boris.unibe.ch/69632/1/art%253A10.1007%252Fs00415-015-7805-5.pdf	https://doi.org/10.1007/s00415-015-7805-5	https://pubmed.ncbi.nlm.nih.gov/26668078	2015	article	False	9	2025	262	2032	26668078	10.1007/S00415-015-7805-5	W574667306	1
https://openalex.org/W4252944224	https://openalex.org/S175814247	Journal of neurology	0340-5354	True	publishedVersion		True	bronze	https://link.springer.com/content/pdf/10.1007/s00415-015-7977-z.pdf	https://doi.org/10.1007/s00415-015-7977-z	https://pubmed.ncbi.nlm.nih.gov/26668078	2015	erratum	False	1	199	263	200	26668078	10.1007/S00415-015-7977-Z	W4252944224	1
https://openalex.org/W4248196537	https://openalex.org/S127900037	Human reproduction	0268-1161	True	publishedVersion		True	bronze	https://academic.oup.com/humrep/article-pdf/31/11/2660/6629024/dew136.pdf	https://doi.org/10.1093/humrep/dew136	https://pubmed.ncbi.nlm.nih.gov/27260677	2016	article	False	11	2660	31	2660	27260677	10.1093/HUMREP/DEW136	W4248196537	1
https://openalex.org/W2340949707	https://openalex.org/S127900037	Human reproduction	0268-1161	True	publishedVersion		True	bronze	https://academic.oup.com/humrep/article-pdf/31/6/1219/17373194/dew067.pdf	https://doi.org/10.1093/humrep/dew067	https://pubmed.ncbi.nlm.nih.gov/27260677	2016	article	False	6	1219	31	1223	27260677	10.1093/HUMREP/DEW067	W2340949707	1
https://openalex.org/W3157710270	https://openalex.org/S149170128	Arthritis research & therapy	1478-6354	True	publishedVersion	cc-by	True	gold	https://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-016-1048-4	https://doi.org/10.1186/s13075-016-1048-4	https://pubmed.ncbi.nlm.nih.gov/27324256	2016	erratum	False	1		18		27324256	10.1186/S13075-016-1048-4	W3157710270	1
https://openalex.org/W2278084370	https://openalex.org/S149170128	Arthritis research & therapy	1478-6354	True	publishedVersion	cc-by	True	gold	https://arthritis-research.biomedcentral.com/counter/pdf/10.1186/s13075-016-0951-z	https://doi.org/10.1186/s13075-016-0951-z	https://pubmed.ncbi.nlm.nih.gov/27324256	2016	article	False	1		18		27324256	10.1186/S13075-016-0951-Z	W2278084370	1
https://openalex.org/W2324269863	https://openalex.org/S13215905	Beilstein journal of organic chemistry	1860-5397	True	publishedVersion	cc-by	True	gold	https://www.beilstein-journals.org/bjoc/content/pdf/1860-5397-12-45.pdf	https://doi.org/10.3762/bjoc.12.45	https://pubmed.ncbi.nlm.nih.gov/27346581	2016	article	False		415	12	428	27346581	10.3762/BJOC.12.45	W2324269863	1
https://openalex.org/W4247994865	https://openalex.org/S13215905	Beilstein journal of organic chemistry	1860-5397	True	publishedVersion	cc-by	True	gold	https://www.beilstein-journals.org/bjoc/content/pdf/1860-5397-12-59.pdf	https://doi.org/10.3762/bjoc.12.59	https://pubmed.ncbi.nlm.nih.gov/27346581	2016	article	False		608	12	610	27346581	10.3762/BJOC.12.59	W4247994865	1
https://openalex.org/W2338415525	https://openalex.org/S23772524	Lancet. Infectious diseases/The Lancet. Infectious diseases	1473-3099	False			False	closed		https://doi.org/10.1016/s1473-3099(16)30008-1	https://pubmed.ncbi.nlm.nih.gov/27352750	2016	article	False	5	523	16	523	27352750	10.1016/S1473-3099(16)30008-1	W2338415525	1
https://openalex.org/W4251761782	https://openalex.org/S23772524	Lancet. Infectious diseases/The Lancet. Infectious diseases	1473-3099	False			False	closed		https://doi.org/10.1016/s1473-3099(16)30083-4	https://pubmed.ncbi.nlm.nih.gov/27352750	2016	article	False	7	773	16	773	27352750	10.1016/S1473-3099(16)30083-4	W4251761782	1
https://openalex.org/W2159527767	https://openalex.org/S118785805	Archives of orthopaedic and trauma surgery	0936-8051	False			False	closed		https://doi.org/10.1007/s00402-015-2361-0	https://pubmed.ncbi.nlm.nih.gov/27604097	2015	article	False	1	135	136	142	27604097	10.1007/S00402-015-2361-0	W2159527767	1
https://openalex.org/W2586937093	https://openalex.org/S118785805	Archives of orthopaedic and trauma surgery	0936-8051	True	publishedVersion		True	bronze	https://link.springer.com/content/pdf/10.1007%2Fs00402-016-2564-z.pdf	https://doi.org/10.1007/s00402-016-2564-z	https://pubmed.ncbi.nlm.nih.gov/27604097	2016	erratum	False	10	1481	136	1481	27604097	10.1007/S00402-016-2564-Z	W2586937093	1
https://openalex.org/W4231529567	https://openalex.org/S40121896	Dental materials	0109-5641	False			False	closed		https://doi.org/10.1016/j.dental.2016.09.033	https://pubmed.ncbi.nlm.nih.gov/27894520	2017	article	False	1	e48	33	e51	27894520	10.1016/J.DENTAL.2016.09.033	W4231529567	1
https://openalex.org/W2529062654	https://openalex.org/S40121896	Dental materials	0109-5641	False			False	closed		https://doi.org/10.1016/j.dental.2016.09.032	https://pubmed.ncbi.nlm.nih.gov/27894520	2016	article	False	12	e389	32	e390	27894520	10.1016/J.DENTAL.2016.09.032	W2529062654	1
https://openalex.org/W4249305556	https://openalex.org/S134668137	Nucleic acids research	0305-1048	True	publishedVersion	cc-by	True	gold	https://academic.oup.com/nar/article-pdf/45/7/4279/13630655/gkw1299.pdf	https://doi.org/10.1093/nar/gkw1299	https://pubmed.ncbi.nlm.nih.gov/27980062	2016	article	False		gkw1299		gkw1299	27980062	10.1093/NAR/GKW1299	W4249305556	1
https://openalex.org/W2543238710	https://openalex.org/S134668137	Nucleic acids research	0305-1048	True	publishedVersion	cc-by	True	gold	https://academic.oup.com/nar/article-pdf/45/D1/D415/8847364/gkw990.pdf	https://doi.org/10.1093/nar/gkw990	https://pubmed.ncbi.nlm.nih.gov/27980062	2016	article	False	D1	D415	45	D418	27980062	10.1093/NAR/GKW990	W2543238710	1
https://openalex.org/W4249758800	https://openalex.org/S151413946	Archives of osteoporosis	1862-3522	True	publishedVersion	cc-by-nc	True	hybrid	https://link.springer.com/content/pdf/10.1007%2Fs11657-017-0319-2.pdf	https://doi.org/10.1007/s11657-017-0319-2	https://pubmed.ncbi.nlm.nih.gov/28255680	2017	erratum	False	1		12		28255680	10.1007/S11657-017-0319-2	W4249758800	1
https://openalex.org/W2539571422	https://openalex.org/S151413946	Archives of osteoporosis	1862-3522	True	publishedVersion	cc-by	True	hybrid	https://doi.org/10.1007/s11657-016-0292-1	https://doi.org/10.1007/s11657-016-0292-1	https://pubmed.ncbi.nlm.nih.gov/28255680	2016	article	False	1		11		28255680	10.1007/S11657-016-0292-1	W2539571422	1
https://openalex.org/W4210578593	https://openalex.org/S37256505	Drugs & aging	1170-229X	True	publishedVersion		True	bronze	https://link.springer.com/content/pdf/10.1007%2Fs40266-017-0457-7.pdf	https://doi.org/10.1007/s40266-017-0457-7	https://pubmed.ncbi.nlm.nih.gov/28349413	2017	erratum	False	5	413	34	413	28349413	10.1007/S40266-017-0457-7	W4210578593	1
https://openalex.org/W2270743897	https://openalex.org/S4306525036	PubMed		False			True	hybrid		https://doi.org/10.1007/s40266-017-0457-7	https://pubmed.ncbi.nlm.nih.gov/28349413	2017	erratum	False	5	413	34	413	28349413	10.1007/S40266-017-0457-7	W2270743897	1
https://openalex.org/W2588777123	https://openalex.org/S200437886	BMC public health	1471-2458	True	publishedVersion	cc-by	True	gold	https://doi.org/10.1186/s12889-017-4116-z	https://doi.org/10.1186/s12889-017-4116-z	https://pubmed.ncbi.nlm.nih.gov/28363278	2017	article	False	1		17		28363278	10.1186/S12889-017-4116-Z	W2588777123	1
https://openalex.org/W4210671477	https://openalex.org/S200437886	BMC public health	1471-2458	True	publishedVersion	cc-by	True	gold	https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-017-4204-0	https://doi.org/10.1186/s12889-017-4204-0	https://pubmed.ncbi.nlm.nih.gov/28363278	2017	erratum	False	1		17		28363278	10.1186/S12889-017-4204-0	W4210671477	1
https://openalex.org/W4241992227	https://openalex.org/S77368557	Health and quality of life outcomes	1477-7525	True	publishedVersion	cc-by	True	gold	https://hqlo.biomedcentral.com/track/pdf/10.1186/s12955-017-0653-5	https://doi.org/10.1186/s12955-017-0653-5	https://pubmed.ncbi.nlm.nih.gov/28403872	2017	erratum	False	1		15		28403872	10.1186/S12955-017-0653-5	W4241992227	1
https://openalex.org/W2600382985	https://openalex.org/S77368557	Health and quality of life outcomes	1477-7525	True	publishedVersion	cc-by	True	gold	https://hqlo.biomedcentral.com/track/pdf/10.1186/s12955-017-0630-z	https://doi.org/10.1186/s12955-017-0630-z	https://pubmed.ncbi.nlm.nih.gov/28403872	2017	article	False	1		15		28403872	10.1186/S12955-017-0630-Z	W2600382985	1
https://openalex.org/W3162139642	https://openalex.org/S137478622	Behavior research methods	1554-351X	True	publishedVersion		True	bronze	https://link.springer.com/content/pdf/10.3758/s13428-017-0896-4.pdf	https://doi.org/10.3758/s13428-017-0896-4	https://pubmed.ncbi.nlm.nih.gov/28421548	2017	erratum	False	3	1191	49	1191	28421548	10.3758/S13428-017-0896-4	W3162139642	1
https://openalex.org/W2265753805	https://openalex.org/S137478622	Behavior research methods	1554-351X	True	publishedVersion		True	bronze	https://link.springer.com/content/pdf/10.3758/s13428-016-0703-7.pdf	https://doi.org/10.3758/s13428-016-0703-7	https://pubmed.ncbi.nlm.nih.gov/28421548	2016	article	False	1	172	49	183	28421548	10.3758/S13428-016-0703-7	W2265753805	1
https://openalex.org/W4245981990	https://openalex.org/S141213272	Pharmacogenomics journal	1470-269X	True	publishedVersion		True	bronze	https://www.nature.com/articles/tpj201720.pdf	https://doi.org/10.1038/tpj.2017.20	https://pubmed.ncbi.nlm.nih.gov/28729716	2017	erratum	False	4	393	17	393	28729716	10.1038/TPJ.2017.20	W4245981990	1
https://openalex.org/W1882861259	https://openalex.org/S141213272	Pharmacogenomics journal	1470-269X	True	publishedVersion		True	bronze	https://www.nature.com/articles/tpj201576.pdf	https://doi.org/10.1038/tpj.2015.76	https://pubmed.ncbi.nlm.nih.gov/28729716	2015	article	False	6	566	16	572	28729716	10.1038/TPJ.2015.76	W1882861259	1
https://openalex.org/W2510524631	https://openalex.org/S134668137	Nucleic acids research	0305-1048	True	publishedVersion	cc-by	True	gold	https://doi.org/10.1093/nar/gkw1059	https://doi.org/10.1093/nar/gkw1059	https://pubmed.ncbi.nlm.nih.gov/28874010	2016	article	False	3	1186	45	1199	28874010	10.1093/NAR/GKW1059	W2510524631	1
https://openalex.org/W3148098810	https://openalex.org/S134668137	Nucleic acids research	0305-1048	True	publishedVersion	cc-by	True	gold	https://academic.oup.com/nar/article-pdf/45/12/7539/18183211/gkx447.pdf	https://doi.org/10.1093/nar/gkx447	https://pubmed.ncbi.nlm.nih.gov/28874010	2017	article	False	12	7539	45	7539	28874010	10.1093/NAR/GKX447	W3148098810	1
https://openalex.org/W4235796123	https://openalex.org/S196734849	Scientific reports	2045-2322	True	publishedVersion	cc-by	True	gold	https://www.nature.com/articles/s41598-017-09608-0.pdf	https://doi.org/10.1038/s41598-017-09608-0	https://pubmed.ncbi.nlm.nih.gov/29026178	2017	erratum	False	1		7		29026178	10.1038/S41598-017-09608-0	W4235796123	1
