PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36031053","Urinary tract infections in pregnancy","Ansaldi Y, Martinez de Tejada Weber B.","Clin Microbiol Infect. 2023 Oct;29(10):1249-1253. doi: 10.1016/j.cmi.2022.08.015. Epub 2022 Aug 27.","Ansaldi Y","Clin Microbiol Infect","2023","2022/08/28","","","10.1016/j.cmi.2022.08.015"
"33485651","IL-25 (IL-17E) in epithelial immunology and pathophysiology","Borowczyk J, Shutova M, Brembilla NC, Boehncke WH.","J Allergy Clin Immunol. 2021 Jul;148(1):40-52. doi: 10.1016/j.jaci.2020.12.628. Epub 2021 Jan 20.","Borowczyk J","J Allergy Clin Immunol","2021","2021/01/24","","","10.1016/j.jaci.2020.12.628"
"33197578","Update in immunosuppressive therapy of myasthenia gravis","Lascano AM, Lalive PH.","Autoimmun Rev. 2021 Jan;20(1):102712. doi: 10.1016/j.autrev.2020.102712. Epub 2020 Nov 13.","Lascano AM","Autoimmun Rev","2021","2020/11/16","","","10.1016/j.autrev.2020.102712"
"34884625","Hypothyroidism-Associated Dyslipidemia: Potential Molecular Mechanisms Leading to NAFLD","Mavromati M, Jornayvaz FR.","Int J Mol Sci. 2021 Nov 26;22(23):12797. doi: 10.3390/ijms222312797.","Mavromati M","Int J Mol Sci","2021","2021/12/10","PMC8657790","","10.3390/ijms222312797"
"33247734","Renal gluconeogenesis: an underestimated role of the kidney in systemic glucose metabolism","Legouis D, Faivre A, Cippà PE, de Seigneux S.","Nephrol Dial Transplant. 2022 Jul 26;37(8):1417-1425. doi: 10.1093/ndt/gfaa302.","Legouis D","Nephrol Dial Transplant","2022","2020/11/28","","","10.1093/ndt/gfaa302"
"36557579","Atypical Pathogens in Adult Community-Acquired Pneumonia and Implications for Empiric Antibiotic Treatment: A Narrative Review","Garin N, Marti C, Skali Lami A, Prendki V.","Microorganisms. 2022 Nov 24;10(12):2326. doi: 10.3390/microorganisms10122326.","Garin N","Microorganisms","2022","2022/12/23","PMC9783917","","10.3390/microorganisms10122326"
"33959476","Oncogenic driver mutations in non-small cell lung cancer: Past, present and future","Chevallier M, Borgeaud M, Addeo A, Friedlaender A.","World J Clin Oncol. 2021 Apr 24;12(4):217-237. doi: 10.5306/wjco.v12.i4.217.","Chevallier M","World J Clin Oncol","2021","2021/05/07","PMC8085514","","10.5306/wjco.v12.i4.217"
"33528847","Prevalence of attention-deficit/hyperactivity disorder in people with mood disorders: A systematic review and meta-analysis","Sandstrom A, Perroud N, Alda M, Uher R, Pavlova B.","Acta Psychiatr Scand. 2021 May;143(5):380-391. doi: 10.1111/acps.13283. Epub 2021 Feb 15.","Sandstrom A","Acta Psychiatr Scand","2021","2021/02/02","","","10.1111/acps.13283"
"35896744","Dual action of ketamine confines addiction liability","Simmler LD, Li Y, Hadjas LC, Hiver A, van Zessen R, Lüscher C.","Nature. 2022 Aug;608(7922):368-373. doi: 10.1038/s41586-022-04993-7. Epub 2022 Jul 27.","Simmler LD","Nature","2022","2022/07/27","","","10.1038/s41586-022-04993-7"
"36259698","Médecine hautement spécialisée et gynécologie","Mathevet P, Petignat P.","Rev Med Suisse. 2022 Oct 19;18(800):1939. doi: 10.53738/REVMED.2022.18.800.1939.","Mathevet P","Rev Med Suisse","2022","2022/10/19","","","10.53738/REVMED.2022.18.800.1939"
"36515471","Décision médicale partagée en chirurgie orthopédique","Hannouche D, Farron A.","Rev Med Suisse. 2022 Dec 14;18(808):2355-2356. doi: 10.53738/REVMED.2022.18.808.2355.","Hannouche D","Rev Med Suisse","2022","2022/12/14","","","10.53738/REVMED.2022.18.808.2355"
"34787968","La pneumologie en marche","Soccal PM, Von Garnier C.","Rev Med Suisse. 2021 Nov 17;17(759):1959-1960.","Soccal PM","Rev Med Suisse","2021","2021/11/17","","",""
"35678906","Renal water transport in health and disease","Feraille E, Sassi A, Olivier V, Arnoux G, Martin PY.","Pflugers Arch. 2022 Aug;474(8):841-852. doi: 10.1007/s00424-022-02712-9. Epub 2022 Jun 9.","Feraille E","Pflugers Arch","2022","2022/06/09","PMC9338902","","10.1007/s00424-022-02712-9"
"35805110","Mechanotransduction in Skin Inflammation","Shutova MS, Boehncke WH.","Cells. 2022 Jun 25;11(13):2026. doi: 10.3390/cells11132026.","Shutova MS","Cells","2022","2022/07/09","PMC9265324","","10.3390/cells11132026"
"33155860","Contraception: what is the resistance all about?","Gold N, Viviano M, Yaron M.","Eur J Contracept Reprod Health Care. 2021 Feb;26(1):62-72. doi: 10.1080/13625187.2020.1837362. Epub 2020 Nov 6.","Gold N","Eur J Contracept Reprod Health Care","2021","2020/11/06","","","10.1080/13625187.2020.1837362"
"34333497","Breathlessness and COVID-19: A Call for Research","Hentsch L, Cocetta S, Allali G, Santana I, Eason R, Adam E, Janssens JP.","Respiration. 2021;100(10):1016-1026. doi: 10.1159/000517400. Epub 2021 Jul 30.","Hentsch L","Respiration","2021","2021/08/01","PMC8450822","","10.1159/000517400"
"35815360","Pathogenesis-oriented therapy of psoriasis using biologics","Boehncke WH, Brembilla NC.","Expert Opin Biol Ther. 2022 Dec;22(12):1463-1473. doi: 10.1080/14712598.2022.2100219. Epub 2022 Jul 20.","Boehncke WH","Expert Opin Biol Ther","2022","2022/07/11","","","10.1080/14712598.2022.2100219"
"36789227","When is parenteral nutrition indicated?","Berger MM, Pichard C.","J Intensive Med. 2022 Jan 10;2(1):22-28. doi: 10.1016/j.jointm.2021.11.006. eCollection 2022 Jan.","Berger MM","J Intensive Med","2022","2023/02/15","PMC9923955","","10.1016/j.jointm.2021.11.006"
"34366620","Recent advances in gastrointestinal cancers","Bordry N, Astaras C, Ongaro M, Goossens N, Frossard JL, Koessler T.","World J Gastroenterol. 2021 Jul 28;27(28):4493-4503. doi: 10.3748/wjg.v27.i28.4493.","Bordry N","World J Gastroenterol","2021","2021/08/09","PMC8326255","","10.3748/wjg.v27.i28.4493"
"34688471","Corticostriatal Activity Driving Compulsive Reward Seeking","Harada M, Pascoli V, Hiver A, Flakowski J, Lüscher C.","Biol Psychiatry. 2021 Dec 15;90(12):808-818. doi: 10.1016/j.biopsych.2021.08.018. Epub 2021 Sep 2.","Harada M","Biol Psychiatry","2021","2021/10/24","","","10.1016/j.biopsych.2021.08.018"
"34754107","Temporal controls over inter-areal cortical projection neuron fate diversity","Klingler E, Tomasello U, Prados J, Kebschull JM, Contestabile A, Galiñanes GL, Fièvre S, Santinha A, Platt R, Huber D, Dayer A, Bellone C, Jabaudon D.","Nature. 2021 Nov;599(7885):453-457. doi: 10.1038/s41586-021-04048-3. Epub 2021 Nov 9.","Klingler E","Nature","2021","2021/11/10","","","10.1038/s41586-021-04048-3"
"35994728","Contribution of keratinocytes to dermal fibrosis","Russo B, Brembilla NC, Chizzolini C.","Curr Opin Rheumatol. 2022 Nov 1;34(6):337-342. doi: 10.1097/BOR.0000000000000895. Epub 2022 Aug 16.","Russo B","Curr Opin Rheumatol","2022","2022/08/22","PMC9594125","","10.1097/BOR.0000000000000895"
"36383905","Antibody Drug Conjugates in Lung Cancer","Merle G, Friedlaender A, Desai A, Addeo A.","Cancer J. 2022 Nov-Dec 01;28(6):429-435. doi: 10.1097/PPO.0000000000000630.","Merle G","Cancer J","2022","2022/11/16","","","10.1097/PPO.0000000000000630"
"33449917","Pathophysiology of NASH in endocrine diseases","Gariani K, Jornayvaz FR.","Endocr Connect. 2021 Feb;10(2):R52-R65. doi: 10.1530/EC-20-0490.","Gariani K","Endocr Connect","2021","2021/01/15","PMC7983516","","10.1530/EC-20-0490"
"35407528","Diffusion-Weighted MRI in the Genitourinary System","De Perrot T, Sadjo Zoua C, Glessgen CG, Botsikas D, Berchtold L, Salomir R, De Seigneux S, Thoeny HC, Vallée JP.","J Clin Med. 2022 Mar 30;11(7):1921. doi: 10.3390/jcm11071921.","De Perrot T","J Clin Med","2022","2022/04/12","PMC9000195","","10.3390/jcm11071921"
"34192780","Do miRNAs Have a Role in Platelet Function Regulation?","Garcia A, Dunoyer-Geindre S, Fontana P.","Hamostaseologie. 2021 Jun;41(3):217-224. doi: 10.1055/a-1478-2105. Epub 2021 Jun 30.","Garcia A","Hamostaseologie","2021","2021/06/30","","","10.1055/a-1478-2105"
"35515125","The Landscape of Immunotherapy Resistance in NSCLC","Frisone D, Friedlaender A, Addeo A, Tsantoulis P.","Front Oncol. 2022 Apr 20;12:817548. doi: 10.3389/fonc.2022.817548. eCollection 2022.","Frisone D","Front Oncol","2022","2022/05/06","PMC9066487","","10.3389/fonc.2022.817548"
"36313762","Interleukin-18 in metabolism: From mice physiology to human diseases","Somm E, Jornayvaz FR.","Front Endocrinol (Lausanne). 2022 Oct 12;13:971745. doi: 10.3389/fendo.2022.971745. eCollection 2022.","Somm E","Front Endocrinol (Lausanne)","2022","2022/10/31","PMC9596921","","10.3389/fendo.2022.971745"
"35160225","Cardiac Surgery in Advanced Heart Failure","Hullin R, Meyer P, Yerly P, Kirsch M.","J Clin Med. 2022 Jan 31;11(3):773. doi: 10.3390/jcm11030773.","Hullin R","J Clin Med","2022","2022/02/15","PMC8836496","","10.3390/jcm11030773"
"36531054","Editorial: Insights in thoracic oncology: 2021/2022","Parikh K, Addeo A.","Front Oncol. 2022 Dec 2;12:1089540. doi: 10.3389/fonc.2022.1089540. eCollection 2022.","Parikh K","Front Oncol","2022","2022/12/19","PMC9757679","","10.3389/fonc.2022.1089540"
"34669289","La grossesse n’est pas toujours physiologique - Il est temps de comprendre pourquoi afin de développer des traitements ciblés","Roset Bahmanyar É, Baud D, Martinez De Tejada Weber B, Mathevet P.","Rev Med Suisse. 2021 Oct 20;17(755):1767-1768.","Roset Bahmanyar É","Rev Med Suisse","2021","2021/10/20","","",""
"33782993","COVID-19 encephalopathy: Clinical and neurobiological features","Uginet M, Breville G, Assal F, Lövblad KO, Vargas MI, Pugin J, Serratrice J, Herrmann FR, Lalive PH, Allali G.","J Med Virol. 2021 Jul;93(7):4374-4381. doi: 10.1002/jmv.26973. Epub 2021 Apr 23.","Uginet M","J Med Virol","2021","2021/03/30","PMC8251282","","10.1002/jmv.26973"
"34106532","La politique a besoin de la science… et vice versa","Zullino D, Daeppen JB, Khazaal Y, Broers B.","Rev Med Suisse. 2021 Jun 9;17(742):1103-1104.","Zullino D","Rev Med Suisse","2021","2021/06/09","","",""
"33027644","Mineralocorticoid receptor antagonists in patients with chronic kidney disease","Cosimato C, Agoritsas T, Mavrakanas TA.","Pharmacol Ther. 2021 Mar;219:107701. doi: 10.1016/j.pharmthera.2020.107701. Epub 2020 Oct 4.","Cosimato C","Pharmacol Ther","2021","2020/10/07","","","10.1016/j.pharmthera.2020.107701"
"35069026","Rectovaginal Fistula in Crohn's Disease: When and How to Operate?","Meyer J, Ris F, Parkes M, Davies J.","Clin Colon Rectal Surg. 2022 Jan 17;35(1):10-20. doi: 10.1055/s-0041-1740029. eCollection 2022 Jan.","Meyer J","Clin Colon Rectal Surg","2022","2022/01/24","PMC8763467","","10.1055/s-0041-1740029"
"34735646","The Role and Impact of Minimal Residual Disease in NSCLC","Frisone D, Friedlaender A, Addeo A.","Curr Oncol Rep. 2021 Nov 4;23(12):136. doi: 10.1007/s11912-021-01131-w.","Frisone D","Curr Oncol Rep","2021","2021/11/04","PMC8568856","","10.1007/s11912-021-01131-w"
"34812433","Rhinology in review: from COVID-19 to biologicals","Fokkens WJ, Landis BN, Hopkins C, Reitsma S, Sedaghat AR.","Rhinology. 2021 Dec 1;59(6):490-500. doi: 10.4193/Rhin21.424.","Fokkens WJ","Rhinology","2021","2021/11/23","","","10.4193/Rhin21.424"
"36247395","Chronic Subdural Hematoma (cSDH): A review of the current state of the art","Nouri A, Gondar R, Schaller K, Meling T.","Brain Spine. 2021 Nov 2;1:100300. doi: 10.1016/j.bas.2021.100300. eCollection 2021.","Nouri A","Brain Spine","2021","2022/10/17","PMC9560707","","10.1016/j.bas.2021.100300"
"33476807","Prophylaxis for COVID-19: a systematic review","Smit M, Marinosci A, Agoritsas T, Calmy A.","Clin Microbiol Infect. 2021 Apr;27(4):532-537. doi: 10.1016/j.cmi.2021.01.013. Epub 2021 Jan 18.","Smit M","Clin Microbiol Infect","2021","2021/01/21","PMC7813508","","10.1016/j.cmi.2021.01.013"
"36055263","One Hundred Years of Congenital Fibrinogen Disorders","Casini A, Moerloose P, Neerman-Arbez M.","Semin Thromb Hemost. 2022 Nov;48(8):880-888. doi: 10.1055/s-0042-1756187. Epub 2022 Sep 2.","Casini A","Semin Thromb Hemost","2022","2022/09/02","","","10.1055/s-0042-1756187"
"36331327","Inclisiran in primary prevention: reality or fiction?","Gencer B, Mach F.","Eur Heart J. 2022 Dec 21;43(48):5058-5060. doi: 10.1093/eurheartj/ehac653.","Gencer B","Eur Heart J","2022","2022/11/04","","","10.1093/eurheartj/ehac653"
"35822756","[Conventional radiological markers in rotator cuff surgery]","Öztürk M, Ilanjian G, Cunningham G.","Rev Med Suisse. 2022 Jul 13;18(790):1421-1424. doi: 10.53738/REVMED.2022.18.790.1421.","Öztürk M","Rev Med Suisse","2022","2022/07/13","","","10.53738/REVMED.2022.18.790.1421"
"35612084","Deep SNOMED CT Enabled Large Clinical Database About COVID-19","Gaudet-Blavignac C, Ehrsam J, Turbe H, Keszthelyi D, Zaghir J, Lovis C.","Stud Health Technol Inform. 2022 May 25;294:317-321. doi: 10.3233/SHTI220466.","Gaudet-Blavignac C","Stud Health Technol Inform","2022","2022/05/25","","","10.3233/SHTI220466"
"33641416","Osteoarticular infection in children","Coulin B, Demarco G, Spyropoulou V, Juchler C, Vendeuvre T, Habre C, Tabard-Fougère A, Dayer R, Steiger C, Ceroni D.","Bone Joint J. 2021 Mar;103-B(3):578-583. doi: 10.1302/0301-620X.103B3.BJJ-2020-0936.R2.","Coulin B","Bone Joint J","2021","2021/03/01","","","10.1302/0301-620X.103B3.BJJ-2020-0936.R2"
"34064232","KRAS G12C Mutations in NSCLC: From Target to Resistance","Addeo A, Banna GL, Friedlaender A.","Cancers (Basel). 2021 May 21;13(11):2541. doi: 10.3390/cancers13112541.","Addeo A","Cancers (Basel)","2021","2021/06/02","PMC8196854","","10.3390/cancers13112541"
